สัญลักษณ์,ความหมาย/ธุรกิจที่เกี่ยวข้อง,ราคาล่าสุด,เปลี่ยนแปลงวันนี้ %,สูงสุด 52 สัปดาห์,ต่ำสุด 52 สัปดาห์,แนวโน้ม 90 วัน,เทียบค่าเฉลี่ย 30 วัน (%)
BKK:CPF,ต้นทุนอาหารสัตว์ (ไก่/หมู),"=GOOGLEFINANCE(A2,""price"")","=GOOGLEFINANCE(A2,""changepct"")","=GOOGLEFINANCE(A2,""high52"")","=GOOGLEFINANCE(A2,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A2,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C2/AVERAGE(INDEX(GOOGLEFINANCE(A2,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
BKK:GFPT,ต้นทุนอาหารสัตว์ (ไก่),"=GOOGLEFINANCE(A3,""price"")","=GOOGLEFINANCE(A3,""changepct"")","=GOOGLEFINANCE(A3,""high52"")","=GOOGLEFINANCE(A3,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A3,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C3/AVERAGE(INDEX(GOOGLEFINANCE(A3,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
BKK:TFG,ต้นทุนอาหารสัตว์ (ไก่),"=GOOGLEFINANCE(A4,""price"")","=GOOGLEFINANCE(A4,""changepct"")","=GOOGLEFINANCE(A4,""high52"")","=GOOGLEFINANCE(A4,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A4,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C4/AVERAGE(INDEX(GOOGLEFINANCE(A4,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
CORN,ราคาข้าวโพดโลก (ต้นทุนอาหารสัตว์),"=GOOGLEFINANCE(A5,""price"")","=GOOGLEFINANCE(A5,""changepct"")","=GOOGLEFINANCE(A5,""high52"")","=GOOGLEFINANCE(A5,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A5,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C5/AVERAGE(INDEX(GOOGLEFINANCE(A5,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
SOYB,ราคาถั่วเหลืองโลก (ต้นทุนอาหารสัตว์),"=GOOGLEFINANCE(A6,""price"")","=GOOGLEFINANCE(A6,""changepct"")","=GOOGLEFINANCE(A6,""high52"")","=GOOGLEFINANCE(A6,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A6,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C6/AVERAGE(INDEX(GOOGLEFINANCE(A6,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
BKK:STA,ยางพารา,"=GOOGLEFINANCE(A7,""price"")","=GOOGLEFINANCE(A7,""changepct"")","=GOOGLEFINANCE(A7,""high52"")","=GOOGLEFINANCE(A7,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A7,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C7/AVERAGE(INDEX(GOOGLEFINANCE(A7,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
BKK:NER,ยางพารา,"=GOOGLEFINANCE(A8,""price"")","=GOOGLEFINANCE(A8,""changepct"")","=GOOGLEFINANCE(A8,""high52"")","=GOOGLEFINANCE(A8,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A8,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C8/AVERAGE(INDEX(GOOGLEFINANCE(A8,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
BKK:KSL,อ้อย/น้ำตาล,"=GOOGLEFINANCE(A9,""price"")","=GOOGLEFINANCE(A9,""changepct"")","=GOOGLEFINANCE(A9,""high52"")","=GOOGLEFINANCE(A9,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A9,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C9/AVERAGE(INDEX(GOOGLEFINANCE(A9,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
BKK:BRR,อ้อย/น้ำตาล,"=GOOGLEFINANCE(A10,""price"")","=GOOGLEFINANCE(A10,""changepct"")","=GOOGLEFINANCE(A10,""high52"")","=GOOGLEFINANCE(A10,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A10,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C10/AVERAGE(INDEX(GOOGLEFINANCE(A10,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
CANE,ราคาน้ำตาลโลก,"=GOOGLEFINANCE(A11,""price"")","=GOOGLEFINANCE(A11,""changepct"")","=GOOGLEFINANCE(A11,""high52"")","=GOOGLEFINANCE(A11,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A11,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C11/AVERAGE(INDEX(GOOGLEFINANCE(A11,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
